time,strain,visc,cn_visc,ct_visc,lub_visc,fluid_visc,S_ref,S,dir_x,dir_y,dir_z,avg_stress,avg_shearrate,avg_coord_num,dt,min_dt_cont,min_dt_force,min_dt_torq
8e-05,4e-06,1.48316,0,0,0.0769119,1.40625,0.972725,0.972986,0.99991,0.0133311,0.00159136,1.11237,0.05,0,2e-05,1e+06,0.013672,0.00145679
0.10002,0.005001,1.54445,0,0,0.138199,1.40625,0.972718,0.972979,0.99991,0.0134016,0.000550751,1.15834,0.05,0,0.000262967,1e+06,0.0541402,0.00525934
0.200117,0.0100059,1.5426,0,0,0.136346,1.40625,0.972714,0.972977,0.99991,0.0134353,-0.000553112,1.15695,0.05,0,0.000245329,1e+06,0.0490796,0.00490658
0.300055,0.0150027,1.5474,0,0,0.141145,1.40625,0.972706,0.972973,0.999908,0.0134733,-0.00165487,1.16055,0.05,0,0.000228724,1e+06,0.0470902,0.00457447
0.400048,0.0200024,1.55047,0,0,0.144221,1.40625,0.972691,0.972967,0.999905,0.0135075,-0.00275655,1.16285,0.05,0,0.000127705,1e+06,0.018975,0.0025541
0.500076,0.0250038,1.55141,0,0,0.14516,1.40625,0.972672,0.97296,0.999901,0.013541,-0.0038588,1.16356,0.05,0,0.000130817,1e+06,0.0194374,0.00261634
0.600012,0.0300006,1.53968,0,0,0.133435,1.40625,0.972649,0.972952,0.999896,0.0135649,-0.00495965,1.15476,0.05,0,0.00011987,1e+06,0.0178109,0.0023974
0.700051,0.0350025,1.53772,0,0,0.131473,1.40625,0.97262,0.972942,0.999889,0.0135788,-0.00606193,1.15329,0.05,0,0.000116029,1e+06,0.0172401,0.00232058
0.800106,0.0400053,1.53717,0,0,0.130925,1.40625,0.972586,0.97293,0.999882,0.0135947,-0.00716476,1.15288,0.05,0,0.000113831,1e+06,0.0169135,0.00227661
0.900078,0.0450039,1.53617,0,0,0.129922,1.40625,0.972546,0.972915,0.999873,0.0136173,-0.00826668,1.15213,0.05,0,0.00011422,1e+06,0.0169714,0.0022844
1.00009,0.0500044,1.55602,0,0,0.149773,1.40625,0.972499,0.972899,0.999863,0.0136385,-0.00936795,1.16702,0.05,0,0.000115231,1e+06,0.0171216,0.00230462
