vol_frac=0.1
ID,Radius,Length,Density,kn
0,0.700,7.000,2.0,600000
1,0.700,7.000,2.0,600000
2,0.700,7.000,2.0,600000
3,0.700,7.000,2.0,600000
4,0.700,7.000,2.0,600000
5,0.700,7.000,2.0,600000
6,0.700,7.000,2.0,600000
7,0.700,7.000,2.0,600000
8,0.700,7.000,2.0,600000
9,0.700,7.000,2.0,600000
10,0.700,7.000,2.0,600000
11,0.700,7.000,2.0,600000
12,0.700,7.000,2.0,600000
13,0.700,7.000,2.0,600000
14,0.700,7.000,2.0,600000
15,0.700,7.000,2.0,600000
16,0.700,7.000,2.0,600000
17,0.700,7.000,2.0,600000
18,0.700,7.000,2.0,600000
19,0.700,7.000,2.0,600000
20,0.700,7.000,2.0,600000
21,0.700,7.000,2.0,600000
22,0.700,7.000,2.0,600000
23,0.700,7.000,2.0,600000
24,0.700,7.000,2.0,600000
25,0.700,7.000,2.0,600000
26,0.700,7.000,2.0,600000
27,0.700,7.000,2.0,600000
28,0.700,7.000,2.0,600000
29,0.700,7.000,2.0,600000
30,0.700,7.000,2.0,600000
31,0.700,7.000,2.0,600000
32,0.700,7.000,2.0,600000
33,0.700,7.000,2.0,600000
34,0.700,7.000,2.0,600000
35,0.700,7.000,2.0,600000
36,0.700,7.000,2.0,600000
37,0.700,7.000,2.0,600000
38,0.700,7.000,2.0,600000
39,0.700,7.000,2.0,600000
40,0.700,7.000,2.0,600000
41,0.700,7.000,2.0,600000
42,0.700,7.000,2.0,600000
43,0.700,7.000,2.0,600000
44,0.700,7.000,2.0,600000
45,0.700,7.000,2.0,600000
46,0.700,7.000,2.0,600000
47,0.700,7.000,2.0,600000
48,0.700,7.000,2.0,600000
49,0.700,7.000,2.0,600000
50,0.700,7.000,2.0,600000
51,0.700,7.000,2.0,600000
52,0.700,7.000,2.0,600000
53,0.700,7.000,2.0,600000
54,0.700,7.000,2.0,600000
55,0.700,7.000,2.0,600000
56,0.700,7.000,2.0,600000
57,0.700,7.000,2.0,600000
58,0.700,7.000,2.0,600000
59,0.700,7.000,2.0,600000
60,0.700,7.000,2.0,600000
61,0.700,7.000,2.0,600000
62,0.700,7.000,2.0,600000
63,0.700,7.000,2.0,600000
64,1.000,10.000,1.0,1500000
65,1.000,10.000,1.0,1500000
66,1.000,10.000,1.0,1500000
67,1.000,10.000,1.0,1500000
68,1.000,10.000,1.0,1500000
69,1.000,10.000,1.0,1500000
70,1.000,10.000,1.0,1500000
71,1.000,10.000,1.0,1500000
72,1.000,10.000,1.0,1500000
73,1.000,10.000,1.0,1500000
74,1.000,10.000,1.0,1500000
75,1.000,10.000,1.0,1500000
76,1.000,10.000,1.0,1500000
77,1.000,10.000,1.0,1500000
78,1.000,10.000,1.0,1500000
79,1.000,10.000,1.0,1500000
80,1.000,10.000,1.0,1500000
81,1.000,10.000,1.0,1500000
82,1.000,10.000,1.0,1500000
83,1.000,10.000,1.0,1500000
84,1.000,10.000,1.0,1500000
85,1.000,10.000,1.0,1500000
86,1.000,10.000,1.0,1500000
87,1.000,10.000,1.0,1500000
88,1.000,10.000,1.0,1500000
89,1.000,10.000,1.0,1500000
90,1.000,10.000,1.0,1500000
91,1.000,10.000,1.0,1500000
92,1.000,10.000,1.0,1500000
93,1.000,10.000,1.0,1500000
94,1.000,10.000,1.0,1500000
95,1.000,10.000,1.0,1500000
96,1.000,10.000,1.0,1500000
97,1.000,10.000,1.0,1500000
98,1.000,10.000,1.0,1500000
99,1.000,10.000,1.0,1500000
100,1.000,10.000,1.0,1500000
101,1.000,10.000,1.0,1500000
102,1.000,10.000,1.0,1500000
103,1.000,10.000,1.0,1500000
104,1.000,10.000,1.0,1500000
105,1.000,10.000,1.0,1500000
106,1.000,10.000,1.0,1500000
107,1.000,10.000,1.0,1500000
108,1.000,10.000,1.0,1500000
109,1.000,10.000,1.0,1500000
110,1.000,10.000,1.0,1500000
111,1.000,10.000,1.0,1500000
112,1.000,10.000,1.0,1500000
113,1.000,10.000,1.0,1500000
114,1.000,10.000,1.0,1500000
115,1.000,10.000,1.0,1500000
116,1.000,10.000,1.0,1500000
117,1.000,10.000,1.0,1500000
118,1.000,10.000,1.0,1500000
119,1.000,10.000,1.0,1500000
120,1.000,10.000,1.0,1500000
121,1.000,10.000,1.0,1500000
122,1.000,10.000,1.0,1500000
123,1.000,10.000,1.0,1500000
124,1.000,10.000,1.0,1500000
125,1.000,10.000,1.0,1500000
126,1.000,10.000,1.0,1500000
127,1.000,10.000,1.0,1500000
128,1.400,14.000,0.6,3000000
129,1.400,14.000,0.6,3000000
130,1.400,14.000,0.6,3000000
131,1.400,14.000,0.6,3000000
132,1.400,14.000,0.6,3000000
133,1.400,14.000,0.6,3000000
134,1.400,14.000,0.6,3000000
135,1.400,14.000,0.6,3000000
136,1.400,14.000,0.6,3000000
137,1.400,14.000,0.6,3000000
138,1.400,14.000,0.6,3000000
139,1.400,14.000,0.6,3000000
140,1.400,14.000,0.6,3000000
141,1.400,14.000,0.6,3000000
142,1.400,14.000,0.6,3000000
143,1.400,14.000,0.6,3000000
144,1.400,14.000,0.6,3000000
145,1.400,14.000,0.6,3000000
146,1.400,14.000,0.6,3000000
147,1.400,14.000,0.6,3000000
148,1.400,14.000,0.6,3000000
149,1.400,14.000,0.6,3000000
150,1.400,14.000,0.6,3000000
151,1.400,14.000,0.6,3000000
152,1.400,14.000,0.6,3000000
153,1.400,14.000,0.6,3000000
154,1.400,14.000,0.6,3000000
155,1.400,14.000,0.6,3000000
156,1.400,14.000,0.6,3000000
157,1.400,14.000,0.6,3000000
158,1.400,14.000,0.6,3000000
159,1.400,14.000,0.6,3000000
160,1.400,14.000,0.6,3000000
161,1.400,14.000,0.6,3000000
162,1.400,14.000,0.6,3000000
163,1.400,14.000,0.6,3000000
164,1.400,14.000,0.6,3000000
165,1.400,14.000,0.6,3000000
166,1.400,14.000,0.6,3000000
167,1.400,14.000,0.6,3000000
168,1.400,14.000,0.6,3000000
169,1.400,14.000,0.6,3000000
170,1.400,14.000,0.6,3000000
171,1.400,14.000,0.6,3000000
172,1.400,14.000,0.6,3000000
173,1.400,14.000,0.6,3000000
174,1.400,14.000,0.6,3000000
175,1.400,14.000,0.6,3000000
176,1.400,14.000,0.6,3000000
177,1.400,14.000,0.6,3000000
178,1.400,14.000,0.6,3000000
179,1.400,14.000,0.6,3000000
180,1.400,14.000,0.6,3000000
181,1.400,14.000,0.6,3000000
182,1.400,14.000,0.6,3000000
183,1.400,14.000,0.6,3000000
184,1.400,14.000,0.6,3000000
185,1.400,14.000,0.6,3000000
186,1.400,14.000,0.6,3000000
187,1.400,14.000,0.6,3000000
188,1.400,14.000,0.6,3000000
189,1.400,14.000,0.6,3000000
190,1.400,14.000,0.6,3000000
191,1.400,14.000,0.6,3000000
192,2.000,20.000,0.3,6000000
193,2.000,20.000,0.3,6000000
194,2.000,20.000,0.3,6000000
195,2.000,20.000,0.3,6000000
196,2.000,20.000,0.3,6000000
197,2.000,20.000,0.3,6000000
198,2.000,20.000,0.3,6000000
199,2.000,20.000,0.3,6000000
200,2.000,20.000,0.3,6000000
201,2.000,20.000,0.3,6000000
202,2.000,20.000,0.3,6000000
203,2.000,20.000,0.3,6000000
204,2.000,20.000,0.3,6000000
205,2.000,20.000,0.3,6000000
206,2.000,20.000,0.3,6000000
207,2.000,20.000,0.3,6000000
208,2.000,20.000,0.3,6000000
209,2.000,20.000,0.3,6000000
210,2.000,20.000,0.3,6000000
211,2.000,20.000,0.3,6000000
212,2.000,20.000,0.3,6000000
213,2.000,20.000,0.3,6000000
214,2.000,20.000,0.3,6000000
215,2.000,20.000,0.3,6000000
216,2.000,20.000,0.3,6000000
217,2.000,20.000,0.3,6000000
218,2.000,20.000,0.3,6000000
219,2.000,20.000,0.3,6000000
220,2.000,20.000,0.3,6000000
221,2.000,20.000,0.3,6000000
222,2.000,20.000,0.3,6000000
223,2.000,20.000,0.3,6000000
224,2.000,20.000,0.3,6000000
225,2.000,20.000,0.3,6000000
226,2.000,20.000,0.3,6000000
227,2.000,20.000,0.3,6000000
228,2.000,20.000,0.3,6000000
